City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
56,Matamoros,MX,78.91,few clouds,25.5333,-103.25,Quinta Belem
57,Torbay,CA,74.88,scattered clouds,47.6666,-52.7314,Gallows Cove
58,Jamestown,US,78.51,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
59,Tomatlan,MX,77.07,overcast clouds,19.9333,-105.25,El Salvial
61,Atuona,PF,77.83,few clouds,-9.8,-139.0333,Villa Enata
62,Carnarvon,AU,67.86,clear sky,-24.8667,113.6333,Hospitality Carnarvon
63,Touros,BR,82.96,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
64,Sao Gabriel Da Cachoeira,BR,85.8,clear sky,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
67,Mahebourg,MU,69.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Jieshi,CN,83.57,overcast clouds,22.8134,115.8257,Yuehai Hotel
71,Moindou,NC,66.43,few clouds,-21.6924,165.677,Equi-lodge de Moindou
